settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow
2023-01-01,1,21043,24680,18995,2815,6545,0,13080,0,1161,609,903,-896,-451,-529,253,235,998
2023-01-01,2,21756,25289,19730,2793,6545,0,13080,0,1056,596,904,-897,-451,-529,252,157,998
2023-01-01,3,21348,25269,19327,2773,6545,0,13080,0,1212,516,983,-910,-451,-529,253,-219,999
2023-01-01,4,20586,24574,18589,2753,6545,0,13080,0,1237,510,989,-911,-413,-529,254,-298,999
2023-01-01,5,19781,24135,17806,2712,6545,0,13080,0,1233,600,903,-912,-401,-529,253,-679,998
2023-01-01,6,19077,23505,17105,2671,6545,0,13080,0,1234,609,895,-911,-401,-530,252,-752,999
2023-01-01,7,18511,22969,16459,2615,6545,0,13080,0,1224,609,895,-697,-401,-530,253,-1006,994
2023-01-01,8,17803,22278,15691,2558,6545,0,13080,0,1221,609,894,-680,-401,-529,252,-1044,993
2023-01-01,9,17363,21875,15221,2511,6545,0,13080,0,1124,566,811,-814,-401,-529,253,-1044,933
2023-01-01,10,17096,21654,14936,2464,6545,0,13080,0,1163,567,804,-820,-401,-530,251,-1044,928
2023-01-01,11,17091,22058,14910,2380,6545,0,13080,0,1208,912,891,-900,-401,-530,-284,-1044,963
2023-01-01,12,17231,22240,15034,2295,6545,0,13080,0,1203,945,900,-908,-401,-529,-324,-1044,966
2023-01-01,13,17748,22680,15545,2226,6545,0,13080,0,1196,998,979,-880,-405,-530,-277,-1044,996
2023-01-01,14,18115,23028,15894,2156,6545,0,13080,0,1136,1001,986,-879,-450,-530,-274,-1044,998
2023-01-01,15,18743,23244,16449,2077,6545,0,13080,0,630,1006,991,-839,-451,-530,-407,-1044,998
2023-01-01,16,19085,23490,16805,1997,6545,0,13080,0,552,1007,991,-836,-451,-529,-417,-1020,998
2023-01-01,17,19675,23428,17346,1953,6545,0,13080,0,637,1001,991,-483,-451,-530,-416,-636,998
2023-01-01,18,20491,23746,18152,1909,6545,104,13080,0,288,1001,991,-416,-451,-530,-415,-555,998
2023-01-01,19,21442,23464,19046,1888,6545,473,13080,0,287,1006,991,140,-446,-511,47,-178,998
2023-01-01,20,22152,23637,19671,1867,6545,797,13080,0,40,1006,992,170,-367,-380,93,-98,998
2023-01-01,21,23089,24401,20476,1851,6545,1066,13080,0,58,1005,992,926,-426,-228,926,276,998
2023-01-01,22,23828,24992,21122,1835,6545,1258,13080,0,12,1005,991,1002,-336,-216,999,354,998
2023-01-01,23,24677,26040,21847,1839,6545,1318,13080,0,6,1005,991,1004,-425,-332,999,725,997
2023-01-01,24,25591,26854,22660,1843,6545,1275,13080,0,6,1005,991,1003,-419,-238,999,796,997
2023-01-01,25,26670,27966,23654,1803,6545,1145,13080,0,4,1005,991,1003,-392,-300,999,1056,997
2023-01-01,26,27296,28553,24203,1762,6545,1019,13080,0,6,1005,992,1003,-422,-229,999,1095,997
2023-01-01,27,27541,28815,24417,1693,6545,878,13080,0,6,1004,991,1003,-399,-269,999,1095,997
2023-01-01,28,27670,28993,24548,1624,6545,638,13080,0,4,1005,992,1004,-426,-293,999,1095,997
2023-01-01,29,27881,29217,24760,1534,6545,470,13080,0,6,1005,991,1003,-390,-340,999,1095,998
2023-01-01,30,28315,29636,25232,1444,6545,257,13080,0,3,1005,992,1002,-351,-367,999,1095,998
2023-01-01,31,28818,30336,25684,1377,6545,87,13080,0,2,1005,992,1004,-413,-503,999,1095,998
2023-01-01,32,29486,30969,26320,1310,6545,8,13080,0,9,1005,992,1002,-357,-517,999,1095,998
2023-01-01,33,30837,32160,27525,1234,6545,0,13080,0,6,1005,992,1003,-311,-406,1017,1095,998
2023-01-01,34,31927,33230,28510,1158,6545,0,13080,0,5,1005,992,1003,-310,-388,1019,1095,998
2023-01-01,35,32628,34003,29230,1119,6545,0,13080,0,0,1005,991,875,-334,-441,1005,1095,998
2023-01-01,36,32478,33859,29154,1079,6545,0,13080,0,1,1005,992,869,-330,-450,1004,1095,999
2023-01-01,37,31740,33007,28532,1044,6545,0,13080,0,5,1005,992,994,-358,-304,1018,1095,998
2023-01-01,38,31062,32309,27976,1009,6545,0,13080,0,5,1005,991,999,-379,-263,1019,1095,999
2023-01-01,39,30330,31475,27370,996,6545,0,13080,0,9,1005,991,1003,-248,-288,1019,1095,998
2023-01-01,40,29100,30275,26233,982,6545,0,13080,0,6,1005,991,1003,-303,-266,1019,1095,998
2023-01-01,41,28532,29486,25700,948,6545,0,13080,0,7,1005,991,998,-224,-123,1019,1095,999
